product_id,product_name,sku,category,brand,price,discount_percent,stock_quantity,description,rating,is_active,created_at
47,Mouse Model 528,SKU-100047,Computer Accessories,Xiaomi,164,19,751,Mouse Model 528 by Xiaomi,3.6,TRUE,2024-05-25T07:11:55.103
48,Headphone Model 815,SKU-100048,Audio,Apple,129,37,874,Headphone Model 815 by Apple,1.6,TRUE,2025-08-03T07:11:55.103
49,Printer Model 798,SKU-100049,Office Equipment,Xiaomi,445,43,880,Printer Model 798 by Xiaomi,1.4,TRUE,2025-05-31T07:11:55.103
50,Tablet Model 814,SKU-100050,Tablets,Logitech,421,36,857,Tablet Model 814 by Logitech,1.9,TRUE,2026-01-21T07:11:55.103
51,Camera Model 292,SKU-100051,Cameras,HP,435,1,902,Camera Model 292 by HP,4.9,TRUE,2024-04-18T07:11:55.103
52,Tablet Model 158,SKU-100052,Tablets,Asus,452,11,146,Tablet Model 158 by Asus,2.6,TRUE,2024-10-29T07:11:55.103
53,Smartphone Model 560,SKU-100053,Mobile Phones,Xiaomi,1104,20,76,Smartphone Model 560 by Xiaomi,4.4,TRUE,2024-12-12T07:11:55.103
54,Mouse Model 352,SKU-100054,Computer Accessories,Apple,130,24,931,Mouse Model 352 by Apple,4.4,TRUE,2023-06-11T07:11:55.103
55,Smart Watch Model 435,SKU-100055,Wearables,Acer,578,28,724,Smart Watch Model 435 by Acer,1.3,TRUE,2025-12-14T07:11:55.103
56,Headphone Model 307,SKU-100056,Audio,Apple,262,9,866,Headphone Model 307 by Apple,3.1,TRUE,2024-06-29T07:11:55.103
57,Printer Model 258,SKU-100057,Office Equipment,Sony,265,20,542,Printer Model 258 by Sony,2.8,TRUE,2024-10-08T07:11:55.103
58,Smart Watch Model 341,SKU-100058,Wearables,Apple,514,22,438,Smart Watch Model 341 by Apple,2.8,TRUE,2025-02-02T07:11:55.103
59,Smartphone Model 836,SKU-100059,Mobile Phones,Logitech,1092,40,456,Smartphone Model 836 by Logitech,2,TRUE,2024-11-22T07:11:55.103
60,Headphone Model 927,SKU-100060,Audio,Apple,88,37,836,Headphone Model 927 by Apple,3.8,TRUE,2025-11-22T07:11:55.103
61,Smartphone Model 469,SKU-100061,Mobile Phones,HP,1237,26,648,Smartphone Model 469 by HP,2.2,TRUE,2024-01-24T07:11:55.103
62,Printer Model 765,SKU-100062,Office Equipment,Logitech,657,14,784,Printer Model 765 by Logitech,2.2,TRUE,2024-07-04T07:11:55.105
63,Camera Model 671,SKU-100063,Cameras,Lenovo,378,4,505,Camera Model 671 by Lenovo,2.5,TRUE,2024-08-14T07:11:55.105
64,Laptop Model 755,SKU-100064,Laptops,Xiaomi,1990,37,582,Laptop Model 755 by Xiaomi,3.9,TRUE,2024-01-03T07:11:55.105
65,Printer Model 980,SKU-100065,Office Equipment,Lenovo,859,18,85,Printer Model 980 by Lenovo,2.2,TRUE,2024-08-23T07:11:55.105
66,Monitor Model 664,SKU-100066,Computer Accessories,Samsung,203,13,2,Monitor Model 664 by Samsung,2.4,TRUE,2025-07-02T07:11:55.105
67,Keyboard Model 433,SKU-100067,Computer Accessories,HP,212,0,26,Keyboard Model 433 by HP,4.3,TRUE,2025-06-08T07:11:55.105
68,Printer Model 463,SKU-100068,Office Equipment,Sony,612,38,77,Printer Model 463 by Sony,2.8,TRUE,2025-12-06T07:11:55.105
69,Camera Model 126,SKU-100069,Cameras,Lenovo,653,12,720,Camera Model 126 by Lenovo,3.8,FALSE,2025-03-31T07:11:55.105
70,Headphone Model 446,SKU-100070,Audio,Dell,427,25,229,Headphone Model 446 by Dell,1.5,TRUE,2025-09-21T07:11:55.105
71,Headphone Model 101,SKU-100071,Audio,Xiaomi,442,15,383,Headphone Model 101 by Xiaomi,1.8,TRUE,2025-07-13T07:11:55.105
72,Mouse Model 314,SKU-100072,Computer Accessories,Dell,102,17,152,Mouse Model 314 by Dell,4.5,TRUE,2025-01-27T07:11:55.105
73,Monitor Model 473,SKU-100073,Computer Accessories,Asus,218,37,320,Monitor Model 473 by Asus,4.3,TRUE,2023-10-16T07:11:55.105
74,Laptop Model 930,SKU-100074,Laptops,Logitech,3085,22,282,Laptop Model 930 by Logitech,2.6,TRUE,2025-08-21T07:11:55.105
75,Keyboard Model 971,SKU-100075,Computer Accessories,Samsung,200,4,649,Keyboard Model 971 by Samsung,2.4,TRUE,2025-08-27T07:11:55.105
76,Smart Watch Model 742,SKU-100076,Wearables,Dell,486,0,479,Smart Watch Model 742 by Dell,3.3,TRUE,2024-05-20T07:11:55.105
77,Tablet Model 592,SKU-100077,Tablets,Samsung,797,27,978,Tablet Model 592 by Samsung,4.1,TRUE,2024-07-07T07:11:55.107
78,Smart Watch Model 141,SKU-100078,Wearables,Dell,633,19,946,Smart Watch Model 141 by Dell,4.7,TRUE,2024-07-19T07:11:55.107
79,Printer Model 465,SKU-100079,Office Equipment,Lenovo,386,46,26,Printer Model 465 by Lenovo,4.2,TRUE,2024-12-06T07:11:55.107
80,Laptop Model 551,SKU-100080,Laptops,Apple,1870,11,756,Laptop Model 551 by Apple,2,TRUE,2023-08-25T07:11:55.107
81,Smart Watch Model 295,SKU-100081,Wearables,Logitech,394,30,634,Smart Watch Model 295 by Logitech,1.3,TRUE,2024-09-23T07:11:55.107
82,Headphone Model 813,SKU-100082,Audio,HP,374,32,957,Headphone Model 813 by HP,1.1,TRUE,2023-11-24T07:11:55.107
83,Laptop Model 680,SKU-100083,Laptops,HP,1255,21,70,Laptop Model 680 by HP,3.9,TRUE,2024-07-13T07:11:55.107
84,Mouse Model 139,SKU-100084,Computer Accessories,Lenovo,295,33,369,Mouse Model 139 by Lenovo,3.3,TRUE,2023-05-31T07:11:55.107
85,Smartphone Model 831,SKU-100085,Mobile Phones,Xiaomi,1044,14,696,Smartphone Model 831 by Xiaomi,2.5,TRUE,2023-08-08T07:11:55.107
86,Keyboard Model 187,SKU-100086,Computer Accessories,Samsung,185,17,446,Keyboard Model 187 by Samsung,5,TRUE,2023-09-23T07:11:55.107
87,Monitor Model 917,SKU-100087,Computer Accessories,Xiaomi,197,6,32,Monitor Model 917 by Xiaomi,2.4,TRUE,2025-03-30T07:11:55.107
88,Printer Model 557,SKU-100088,Office Equipment,Acer,773,14,0,Printer Model 557 by Acer,2,TRUE,2025-03-04T07:11:55.107
89,Laptop Model 650,SKU-100089,Laptops,Logitech,1057,25,627,Laptop Model 650 by Logitech,2.5,TRUE,2023-12-22T07:11:55.107
90,Laptop Model 523,SKU-100090,Laptops,Logitech,2602,25,387,Laptop Model 523 by Logitech,1.1,TRUE,2025-11-09T07:11:55.107
91,Keyboard Model 337,SKU-100091,Computer Accessories,Samsung,168,6,149,Keyboard Model 337 by Samsung,2.8,TRUE,2023-10-17T07:11:55.107
92,Laptop Model 894,SKU-100092,Laptops,Asus,1934,6,969,Laptop Model 894 by Asus,3.7,TRUE,2024-02-10T07:11:55.107
93,Keyboard Model 116,SKU-100093,Computer Accessories,Apple,97,18,228,Keyboard Model 116 by Apple,1.5,TRUE,2023-09-03T07:11:55.107
94,Headphone Model 451,SKU-100094,Audio,Sony,234,46,730,Headphone Model 451 by Sony,1.2,TRUE,2025-09-25T07:11:55.109
95,Monitor Model 921,SKU-100095,Computer Accessories,Dell,184,31,503,Monitor Model 921 by Dell,4.6,TRUE,2025-09-16T07:11:55.109
96,Mouse Model 348,SKU-100096,Computer Accessories,Xiaomi,202,42,917,Mouse Model 348 by Xiaomi,4.6,TRUE,2024-08-26T07:11:55.109
97,Keyboard Model 591,SKU-100097,Computer Accessories,Logitech,39,6,425,Keyboard Model 591 by Logitech,4.9,TRUE,2025-05-29T07:11:55.109
98,Smart Watch Model 707,SKU-100098,Wearables,Acer,393,41,631,Smart Watch Model 707 by Acer,4.6,TRUE,2023-06-30T07:11:55.109
99,Smartphone Model 667,SKU-100099,Mobile Phones,Xiaomi,686,12,456,Smartphone Model 667 by Xiaomi,4.6,TRUE,2026-01-23T07:11:55.109
100,Camera Model 825,SKU-100100,Cameras,Asus,1215,49,137,Camera Model 825 by Asus,2.3,TRUE,2024-09-30T07:11:55.109
101,Keyboard Model 202,SKU-100101,Computer Accessories,Dell,185,44,300,Keyboard Model 202 by Dell,1.7,TRUE,2023-10-10T07:11:55.109
102,Smartphone Model 584,SKU-100102,Mobile Phones,Dell,942,48,914,Smartphone Model 584 by Dell,3.5,TRUE,2025-06-04T07:11:55.109
103,Printer Model 285,SKU-100103,Office Equipment,Lenovo,183,26,857,Printer Model 285 by Lenovo,2,TRUE,2023-09-05T07:11:55.109
104,Monitor Model 813,SKU-100104,Computer Accessories,Sony,134,25,821,Monitor Model 813 by Sony,4.9,TRUE,2024-03-10T07:11:55.109
105,Monitor Model 876,SKU-100105,Computer Accessories,Apple,146,49,399,Monitor Model 876 by Apple,2.2,TRUE,2023-08-02T07:11:55.109
106,Headphone Model 307,SKU-100106,Audio,Logitech,50,24,517,Headphone Model 307 by Logitech,3.1,TRUE,2024-10-23T07:11:55.109
107,Smart Watch Model 242,SKU-100107,Wearables,Asus,297,27,383,Smart Watch Model 242 by Asus,1.8,TRUE,2023-12-10T07:11:55.109
108,Laptop Model 117,SKU-100108,Laptops,Sony,721,47,563,Laptop Model 117 by Sony,4.4,TRUE,2024-05-02T07:11:55.109
109,Camera Model 770,SKU-100109,Cameras,Xiaomi,1193,9,885,Camera Model 770 by Xiaomi,3.6,TRUE,2025-07-04T07:11:55.109
110,Mouse Model 425,SKU-100110,Computer Accessories,Lenovo,197,35,475,Mouse Model 425 by Lenovo,2.9,TRUE,2024-08-16T07:11:55.109
111,Headphone Model 635,SKU-100111,Audio,Logitech,268,26,218,Headphone Model 635 by Logitech,4.8,TRUE,2025-08-25T07:11:55.111
112,Mouse Model 577,SKU-100112,Computer Accessories,Acer,81,36,436,Mouse Model 577 by Acer,4.6,TRUE,2025-02-23T07:11:55.111
113,Keyboard Model 475,SKU-100113,Computer Accessories,Logitech,48,1,968,Keyboard Model 475 by Logitech,1.2,TRUE,2025-02-03T07:11:55.111
114,Tablet Model 501,SKU-100114,Tablets,Acer,716,18,765,Tablet Model 501 by Acer,1.3,TRUE,2025-02-02T07:11:55.111
115,Tablet Model 294,SKU-100115,Tablets,Xiaomi,742,5,50,Tablet Model 294 by Xiaomi,2.2,TRUE,2023-06-10T07:11:55.111
116,Printer Model 340,SKU-100116,Office Equipment,Logitech,367,27,133,Printer Model 340 by Logitech,4.8,TRUE,2025-08-05T07:11:55.111
117,Headphone Model 475,SKU-100117,Audio,Lenovo,338,8,610,Headphone Model 475 by Lenovo,1.4,TRUE,2025-12-24T07:11:55.111
118,Monitor Model 242,SKU-100118,Computer Accessories,Dell,94,2,62,Monitor Model 242 by Dell,1.4,TRUE,2024-02-12T07:11:55.111
119,Mouse Model 639,SKU-100119,Computer Accessories,HP,251,37,127,Mouse Model 639 by HP,2.9,TRUE,2025-04-29T07:11:55.111
120,Camera Model 227,SKU-100120,Cameras,Sony,1627,21,832,Camera Model 227 by Sony,4,TRUE,2024-10-14T07:11:55.111
121,Tablet Model 927,SKU-100121,Tablets,Xiaomi,746,48,90,Tablet Model 927 by Xiaomi,3.1,TRUE,2024-05-15T07:11:55.111
122,Smartphone Model 359,SKU-100122,Mobile Phones,HP,600,10,679,Smartphone Model 359 by HP,4,TRUE,2023-08-12T07:11:55.111
123,Keyboard Model 703,SKU-100123,Computer Accessories,Sony,216,47,108,Keyboard Model 703 by Sony,2.5,TRUE,2024-05-24T07:11:55.111
124,Tablet Model 992,SKU-100124,Tablets,HP,643,41,670,Tablet Model 992 by HP,4.2,TRUE,2025-03-23T07:11:55.111
125,Camera Model 379,SKU-100125,Cameras,Acer,1709,3,366,Camera Model 379 by Acer,2.4,TRUE,2025-07-21T07:11:55.111
126,Smart Watch Model 665,SKU-100126,Wearables,HP,668,37,5,Smart Watch Model 665 by HP,4,TRUE,2024-05-18T07:11:55.111
127,Mouse Model 361,SKU-100127,Computer Accessories,Xiaomi,34,26,879,Mouse Model 361 by Xiaomi,2.5,TRUE,2025-02-07T07:11:55.111
128,Keyboard Model 389,SKU-100128,Computer Accessories,Dell,260,42,745,Keyboard Model 389 by Dell,3.4,TRUE,2024-10-12T07:11:55.113
129,Tablet Model 144,SKU-100129,Tablets,Sony,999,16,622,Tablet Model 144 by Sony,3.9,TRUE,2023-09-21T07:11:55.113
130,Tablet Model 889,SKU-100130,Tablets,Xiaomi,240,36,37,Tablet Model 889 by Xiaomi,3.1,TRUE,2025-02-19T07:11:55.113
131,Smartphone Model 859,SKU-100131,Mobile Phones,Acer,663,10,448,Smartphone Model 859 by Acer,3.4,TRUE,2023-08-04T07:11:55.113
132,Printer Model 477,SKU-100132,Office Equipment,Acer,671,1,615,Printer Model 477 by Acer,1.1,TRUE,2025-07-19T07:11:55.115
133,Keyboard Model 112,SKU-100133,Computer Accessories,Sony,294,4,628,Keyboard Model 112 by Sony,4.8,TRUE,2025-11-18T07:11:55.115
134,Keyboard Model 615,SKU-100134,Computer Accessories,Dell,301,38,842,Keyboard Model 615 by Dell,3.9,TRUE,2023-08-21T07:11:55.115
135,Smart Watch Model 138,SKU-100135,Wearables,Lenovo,561,47,557,Smart Watch Model 138 by Lenovo,2.2,TRUE,2023-09-02T07:11:55.115
136,Mouse Model 446,SKU-100136,Computer Accessories,Lenovo,208,19,802,Mouse Model 446 by Lenovo,3.6,TRUE,2023-07-16T07:11:55.115
137,Printer Model 372,SKU-100137,Office Equipment,Dell,432,6,838,Printer Model 372 by Dell,4.5,TRUE,2024-05-10T07:11:55.115
138,Keyboard Model 458,SKU-100138,Computer Accessories,Asus,158,33,173,Keyboard Model 458 by Asus,1.8,TRUE,2024-02-01T07:11:55.115
139,Tablet Model 533,SKU-100139,Tablets,Sony,1110,33,550,Tablet Model 533 by Sony,3.1,TRUE,2025-10-03T07:11:55.115
140,Mouse Model 425,SKU-100140,Computer Accessories,Samsung,216,9,43,Mouse Model 425 by Samsung,3.1,TRUE,2023-07-13T07:11:55.115
141,Camera Model 265,SKU-100141,Cameras,Xiaomi,659,12,28,Camera Model 265 by Xiaomi,2.5,TRUE,2025-04-26T07:11:55.115
142,Camera Model 826,SKU-100142,Cameras,HP,1223,48,91,Camera Model 826 by HP,2.4,TRUE,2024-05-03T07:11:55.115
143,Smartphone Model 304,SKU-100143,Mobile Phones,Acer,1228,38,994,Smartphone Model 304 by Acer,1.5,TRUE,2023-10-20T07:11:55.115
144,Tablet Model 284,SKU-100144,Tablets,Samsung,380,43,958,Tablet Model 284 by Samsung,2.1,TRUE,2023-05-28T07:11:55.115
145,Monitor Model 366,SKU-100145,Computer Accessories,Asus,134,42,964,Monitor Model 366 by Asus,4.3,TRUE,2023-09-11T07:11:55.115
146,Mouse Model 468,SKU-100146,Computer Accessories,Dell,222,19,501,Mouse Model 468 by Dell,4.6,TRUE,2023-09-13T07:11:55.115
147,Smartphone Model 860,SKU-100147,Mobile Phones,Dell,757,40,6,Smartphone Model 860 by Dell,4.3,TRUE,2023-12-01T07:11:55.115
148,Camera Model 103,SKU-100148,Cameras,Sony,532,2,89,Camera Model 103 by Sony,4.6,TRUE,2025-06-13T07:11:55.115
149,Headphone Model 880,SKU-100149,Audio,Acer,155,24,743,Headphone Model 880 by Acer,2.9,TRUE,2025-06-18T07:11:55.117
150,Camera Model 409,SKU-100150,Cameras,Samsung,2276,36,241,Camera Model 409 by Samsung,1.3,TRUE,2024-03-01T07:11:55.117
151,Laptop Model 826,SKU-100151,Laptops,Logitech,1159,34,270,Laptop Model 826 by Logitech,2.5,TRUE,2025-04-07T07:11:55.117
152,Camera Model 990,SKU-100152,Cameras,Acer,555,25,933,Camera Model 990 by Acer,2.8,TRUE,2024-09-13T07:11:55.117
153,Laptop Model 776,SKU-100153,Laptops,Apple,895,9,64,Laptop Model 776 by Apple,1.4,TRUE,2024-01-10T07:11:55.117
154,Tablet Model 855,SKU-100154,Tablets,Acer,454,32,726,Tablet Model 855 by Acer,3.8,TRUE,2025-07-28T07:11:55.117
155,Printer Model 385,SKU-100155,Office Equipment,Apple,427,40,322,Printer Model 385 by Apple,4.2,TRUE,2024-11-07T07:11:55.117
156,Monitor Model 617,SKU-100156,Computer Accessories,Dell,204,16,629,Monitor Model 617 by Dell,1.1,TRUE,2025-02-18T07:11:55.117
157,Monitor Model 582,SKU-100157,Computer Accessories,Lenovo,224,11,441,Monitor Model 582 by Lenovo,4.7,TRUE,2023-11-24T07:11:55.117
158,Headphone Model 429,SKU-100158,Audio,Asus,381,15,356,Headphone Model 429 by Asus,1.4,TRUE,2023-08-02T07:11:55.117
159,Mouse Model 922,SKU-100159,Computer Accessories,Lenovo,271,44,430,Mouse Model 922 by Lenovo,2,TRUE,2024-12-09T07:11:55.117
160,Mouse Model 790,SKU-100160,Computer Accessories,Samsung,77,15,413,Mouse Model 790 by Samsung,3.6,TRUE,2024-04-25T07:11:55.117
161,Smartphone Model 449,SKU-100161,Mobile Phones,Logitech,793,25,417,Smartphone Model 449 by Logitech,3.7,TRUE,2024-07-19T07:11:55.117
162,Tablet Model 861,SKU-100162,Tablets,Samsung,975,41,26,Tablet Model 861 by Samsung,4.9,FALSE,2023-07-25T07:11:55.117
163,Monitor Model 863,SKU-100163,Computer Accessories,Acer,196,13,463,Monitor Model 863 by Acer,1.4,TRUE,2023-06-02T07:11:55.117
164,Headphone Model 112,SKU-100164,Audio,Xiaomi,253,26,699,Headphone Model 112 by Xiaomi,2.3,TRUE,2023-09-04T07:11:55.117
165,Tablet Model 390,SKU-100165,Tablets,HP,684,27,781,Tablet Model 390 by HP,1.2,TRUE,2024-08-04T07:11:55.117
166,Headphone Model 748,SKU-100166,Audio,Dell,278,36,217,Headphone Model 748 by Dell,1.4,TRUE,2025-09-29T07:11:55.117
167,Tablet Model 444,SKU-100167,Tablets,Samsung,1051,19,414,Tablet Model 444 by Samsung,3.6,TRUE,2025-02-23T07:11:55.117
168,Monitor Model 886,SKU-100168,Computer Accessories,Lenovo,145,1,394,Monitor Model 886 by Lenovo,2.5,TRUE,2024-04-22T07:11:55.117
169,Laptop Model 412,SKU-100169,Laptops,Apple,1681,4,985,Laptop Model 412 by Apple,1.3,TRUE,2023-08-10T07:11:55.117
170,Printer Model 122,SKU-100170,Office Equipment,Acer,876,29,495,Printer Model 122 by Acer,3.7,TRUE,2024-12-19T07:11:55.117
171,Mouse Model 697,SKU-100171,Computer Accessories,Samsung,146,33,922,Mouse Model 697 by Samsung,1.1,TRUE,2025-02-01T07:11:55.117
172,Smart Watch Model 660,SKU-100172,Wearables,Samsung,480,46,997,Smart Watch Model 660 by Samsung,4.3,TRUE,2025-04-25T07:11:55.117
173,Camera Model 839,SKU-100173,Cameras,Sony,1058,34,883,Camera Model 839 by Sony,2.1,TRUE,2024-05-09T07:11:55.117
174,Monitor Model 528,SKU-100174,Computer Accessories,Sony,205,46,118,Monitor Model 528 by Sony,3.3,TRUE,2025-01-11T07:11:55.117
175,Printer Model 389,SKU-100175,Office Equipment,HP,416,42,871,Printer Model 389 by HP,2.2,TRUE,2025-05-26T07:11:55.117
176,Headphone Model 685,SKU-100176,Audio,HP,437,47,647,Headphone Model 685 by HP,1.9,TRUE,2024-11-17T07:11:55.117
177,Smart Watch Model 818,SKU-100177,Wearables,Dell,566,6,892,Smart Watch Model 818 by Dell,1.7,TRUE,2025-10-26T07:11:55.117
178,Laptop Model 280,SKU-100178,Laptops,HP,698,9,410,Laptop Model 280 by HP,4.1,TRUE,2024-11-09T07:11:55.117
179,Smartphone Model 164,SKU-100179,Mobile Phones,Xiaomi,1039,36,222,Smartphone Model 164 by Xiaomi,1.2,TRUE,2023-09-04T07:11:55.117
180,Monitor Model 510,SKU-100180,Computer Accessories,Acer,247,2,696,Monitor Model 510 by Acer,4.4,TRUE,2023-11-13T07:11:55.117
181,Headphone Model 138,SKU-100181,Audio,Apple,448,44,283,Headphone Model 138 by Apple,1.6,TRUE,2025-09-04T07:11:55.117
182,Tablet Model 208,SKU-100182,Tablets,Dell,1126,20,385,Tablet Model 208 by Dell,3.6,TRUE,2024-01-22T07:11:55.117
183,Camera Model 873,SKU-100183,Cameras,Dell,2071,27,904,Camera Model 873 by Dell,1.5,TRUE,2025-01-03T07:11:55.117
184,Tablet Model 417,SKU-100184,Tablets,Xiaomi,979,26,699,Tablet Model 417 by Xiaomi,2.8,TRUE,2025-02-16T07:11:55.117
185,Tablet Model 678,SKU-100185,Tablets,Logitech,768,35,992,Tablet Model 678 by Logitech,4.8,TRUE,2023-08-17T07:11:55.119
186,Headphone Model 418,SKU-100186,Audio,Samsung,350,37,844,Headphone Model 418 by Samsung,3.9,TRUE,2023-06-05T07:11:55.119
187,Headphone Model 791,SKU-100187,Audio,HP,249,46,107,Headphone Model 791 by HP,1.4,TRUE,2023-11-26T07:11:55.119
